polcod,polvar,polval,wh_id_tmpl,srtseq,rtstr1,rtstr2,rtnum1,rtnum2,rtflt1,rtflt2,moddte,mod_usr_id,grp_nam
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,30,50016464,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,31,50016475,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,32,50016527,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,33,3108,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,34,30386082,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,35,50016555,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,36,50016581,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,37,50016716,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,38,50016726,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,39,50016728,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,40,50016798,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,41,50016802,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,42,50016807,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,43,50023521,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,44,50023635,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,45,50016556,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,46,50016576,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,47,50016580,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,48,50016586,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,49,50020417,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,50,A000000019,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,51,3224,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,52,11500927,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,53,30003175,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,54,30004200,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,55,3099,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,56,30005361,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,57,30043461,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,58,30329813,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,59,30329814,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,60,30003177,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,61,30004193,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,62,11500920,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,63,30004189,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,64,30245644,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,65,3229,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,66,0030234642_1635,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,67,30121473,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,68,3234,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,69,30004194,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,70,3232,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,71,30004188,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,72,3235,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,73,30234642,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,74,0030355480_10602,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,75,11500922,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,76,30004212,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,77,0030235402_1797,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,78,30006436,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,79,30003176,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,80,30002552,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,81,0030245644_11327,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,82,0030234642_3223,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,83,30006361,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,84,0030235402_2855,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,85,30363563,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,86,3109,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,87,0000003234_3586,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,88,3629,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,89,30235402,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,90,3167,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,91,50577989,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,92,0000003232_5829,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,93,30485048,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,94,TPTO,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,95,3008,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,96,50561835,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,97,50567632,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,98,50564674,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,99,3227,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,100,0000003232_11675,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,101,0030245644_11640,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,102,30004195,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,103,3635,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,104,3236,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,105,30004197,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,106,0030002552_10359,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,107,3009,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,108,0000003232_11031,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,109,0000003232_10540,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,110,3082,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,111,0000003232_11149,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,112,0030245644_11176,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,113,0000003232_10571,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,114,0030004194_11077,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,115,0000003232_10864,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,116,30277782,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,117,0030245644_11224,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,118,0000003232_11647,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,119,0000003232_11020,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,120,0030002552_11165,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,121,0000003227_11190,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,122,0000003232_11044,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,123,30043644,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,124,0030004194_10541,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,125,0030234642_10583,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,126,0030245644_11210,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,127,0030002552_11133,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,128,0000003232_11142,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,129,30374303,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,130,0030245644_10933,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,131,30002044,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,132,30562999,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,133,0030234642_10985,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,134,0000003227_11915,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,135,0000003232_11381,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,136,0030004194_11767,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,137,0030005361_11968,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,138,0030245644_11637,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,139,0000003227_11706,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,140,0000003227_11388,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,141,0030245644_11581,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,142,0030235402_11659,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,143,0030004194_11375,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,144,30043450,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,145,30697358,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,146,30012920,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,147,0030234642_11676,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,148,3166,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,149,0030005361_11441,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,150,0030355480_11632,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,151,0030245644_11872,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,152,0000003232_11901,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,153,0000003227_11914,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,154,0000003232_11921,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,155,0000003167_11969,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,156,30692918,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,157,0000003232_12007,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,158,0030245644_12102,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,159,0030235402_12104,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,160,0030245644_12105,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,161,0030234642_12101,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,162,0030235402_12103,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,163,30002734,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,164,30116409,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,165,30001739,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,166,30006064,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,167,30002851,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,168,30001366,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,169,30237369,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,170,30005189,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,171,30014175,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,172,30001584,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,173,30552025,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,174,30002834,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,175,30005173,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,176,30580306,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,177,30552050,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,178,30001679,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,179,30045724,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,180,30617785,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,181,30515379,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,182,30650627,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,183,30552010,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,184,30551980,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,185,30551980,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,186,30005394,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,187,30687121,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,188,30042651,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,189,30043458,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,190,30488359,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,191,30002031,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,192,30001368,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,193,30492302,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,194,30001358,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,195,30003341,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,196,30477078,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,197,30463364,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,198,30452326,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,199,30005172,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,200,30005172,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,201,30564054,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,202,30617039,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,203,30014516,,1,0,0,0,sysdate,AMTEAM,
