polcod,polvar,polval,wh_id_tmpl,srtseq,rtstr1,rtstr2,rtnum1,rtnum2,rtflt1,rtflt2,moddte,mod_usr_id,grp_nam
USR-UNILEVER,ASSIGN-PICK-TO-ACKUSER,ENABLED,----,1,,,1,0,0,0,20220801000000,NOUSER,
USR-UNILEVER,ASSIGN-PICK-TO-ACKUSER,OPRCOD,----,1,PCK,,1,0,0,0,20220801000000,NOUSER,
USR-UNILEVER,ASSIGN-PICK-TO-ACKUSER,OPRCOD,----,2,LPCK,,1,0,0,0,20220801000000,NOUSER,
USR-UNILEVER,ASSIGN-PICK-TO-ACKUSER,OPRCOD,----,3,PRP,,1,0,0,0,20220801000000,NOUSER,
USR-UNILEVER,ASSIGN-PICK-TO-ACKUSER,OPRCOD,----,4,CPCK,,1,0,0,0,20220801000000,NOUSER,
USR-UNILEVER,ASSIGN-PICK-TO-ACKUSER,OPRCOD,----,5,PIARPL,,1,0,0,0,20220801000000,NOUSER,
