pcklst_rule_id,pcklst_rule_name,wh_id,client_id,re_list_flg,allow_split_flg,list_typ,one_pass_only,assign_slot_flg,asset_typ,valid_flg,cnf_mtused_prt,cmdtxt,opr_cod,pick_ord_by,max_start_picks,drop_at_wrkzone_change,frc_pickup_prev,rsm_lst_pck_prev_opr,cmb_list_flg,prevent_pck_cons,pick_to_lvl,wa_fit_cri,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,max_assets
47,PICKLIST04,990,----,1,0,ORD,B,1,MCHEP,1,0,CREATE WORK,CPCK,locmst.trvseq,0,0,0,0,0,1,L,,,,NOUSER,NOUSER,1
48,PICKLIST05,990,----,1,0,ORD,B,1,MWHIT,1,0,CREATE WORK,CPCK,locmst.trvseq,0,0,0,0,0,1,L,,,,NOUSER,AAVILES,1
49,PICKLIST06,990,----,1,0,ORD,B,1,MHEAT,1,0,CREATE WORK,CPCK,locmst.trvseq,0,0,0,0,0,1,L,,,,NOUSER,NOUSER,1
50,PICKLIST07,990,----,1,0,ORD,B,1,MPECO,1,0,CREATE WORK,CPCK,locmst.trvseq,0,0,0,0,0,1,L,,,,NOUSER,NOUSER,1
